-75.4492,40.6508,51.2
-78.4667,40.4950,49
-78.3169,40.3000,49.4
-78.3694,40.5228,49.3
-77.9267,41.3583,49.1
-75.7861,39.8592,52.1
-79.0186,41.6678,45.7
-76.4983,40.8208,49.9
-75.6428,40.8619,49.6
-76.3425,41.2322,47.2
-77.2578,39.9356,52.3
-77.3639,40.2636,51.4
-76.0339,40.3844,50.9
-78.7144,41.8975,44.8
-78.6403,41.8031,44.2
-79.0833,41.1500,47
-75.2044,40.5003,50
-79.9167,40.8500,48.8
-76.8464,41.6517,46.4
-77.1894,40.2258,52.3
-77.4478,41.5217,47.6
-79.5833,39.8508,46.7
-77.6394,39.9353,52.6
-79.2969,41.9300,44.4
-77.9411,41.0489,45.6
-79.4361,41.1922,47.1
-78.4117,41.0467,47.8
-78.4878,41.6961,44.2
-78.5333,41.7333,46
-75.8600,39.9847,52.1
-79.3664,39.7994,49.2
-80.2833,41.7333,47.1
-79.6333,41.9167,47.9
-78.0417,41.7750,46
-77.9711,41.7392,44.1
-77.1567,41.9903,46.8
-76.8703,40.4600,50.7
-79.3333,40.3000,50.6
-79.4000,40.1333,48.4
-79.8694,40.1636,52.5
-75.1225,40.3300,52.5
-78.8989,41.1783,47.1
-76.3997,41.5258,45.8
-78.7289,40.4681,47.7
-77.2292,39.8050,52.5
-78.2275,41.5067,47.9
-80.1825,42.0800,49.9
-78.3653,40.0136,49.5
-79.5000,40.7167,49.2
-75.7278,41.1183,46.6
-79.8303,41.4003,48.7
-78.6014,41.5631,45.3
-78.8333,39.8167,48.6
-75.4353,40.2306,51.6
-79.9167,39.7833,51.4
-75.4783,40.3422,55.6
-80.3667,41.4167,47.5
-75.9914,40.5511,54
-77.0333,39.7667,52.3
-76.9833,39.8000,52
-76.8703,40.2817,52
-76.8500,40.2167,53.2
-75.1653,41.4764,46.5
-76.3333,39.8333,53
-75.8856,40.1592,51.8
-78.0025,40.5153,49.1
-79.1183,40.5969,49.4
-80.4667,41.5000,47.5
-78.8339,40.3161,47.7
-78.9167,40.3333,52.9
-78.8036,41.6767,44.3
-76.2742,40.0500,52.8
-76.2944,40.1203,52.2
-76.4333,40.1167,52.7
-76.4933,41.4233,45.8
-79.1883,40.2003,49.5
-79.1411,40.1692,45.6
-77.2139,40.9017,49.8
-76.4667,40.3333,51.2
-76.8786,40.9475,50.3
-77.5692,40.5864,51.4
-80.4333,41.6500,47.8
-77.4500,41.1167,50.1
-79.4503,40.4586,51.8
-75.4283,39.8253,56.2
-74.7172,41.3914,48.4
-79.8603,40.3392,51.5
-80.1667,41.6333,48.1
-80.2350,41.2247,48.8
-79.0411,39.7808,47.1
-76.7633,40.1936,53.3
-77.4744,40.8839,47.3
-76.5667,41.1000,48.5
-80.3833,40.6500,52
-75.8583,41.8511,44.7
-79.1883,39.7997,47.5
-79.4994,40.2156,50.1
-75.3794,41.1389,46.4
-75.0167,40.0833,54.5
-74.9550,40.1358,53.2
-80.3619,41.0172,50
-76.0717,40.0750,53.7
-77.1294,40.4783,51.8
-75.3583,40.1197,54.5
-76.0500,39.8000,52.2
-78.0000,41.9167,44.9
-75.6167,40.8000,51
-75.1500,39.9500,57.5
-75.2311,39.8683,55.9
-78.2161,40.8728,47.1
-78.0667,40.9167,46.8
-75.1728,39.9575,57.1
-75.5011,40.1200,52.8
-79.9333,40.3500,51.8
-80.2144,40.4847,51.4
-75.4464,41.7394,43.9
-79.9167,39.7333,53
-78.2875,41.8158,45.5
-80.2150,41.6264,48.4
-75.5572,40.2383,52.6
-78.5506,40.6514,47.1
-79.2825,40.9250,48.5
-78.0753,40.3814,51.6
-75.9319,40.4269,53.5
-75.9667,40.3667,52.7
-79.2667,40.1667,50
-77.7381,41.3297,49.9
-78.7492,41.4197,45.8
-75.7222,40.5514,50.4
-76.3947,39.8958,54.1
-79.5458,40.5100,50.7
-76.8617,40.7831,50.6
-76.8642,40.8206,51.7
-75.3222,40.3589,51.1
-78.6372,40.0328,49.4
-77.5167,40.0500,52.9
-77.4300,39.7340,53.6
-80.0667,41.0500,49.6
-77.4772,39.8581,49.7
-80.4333,41.8167,47.2
-75.2686,40.5711,51.3
-77.8672,40.7933,50.2
-78.0167,41.4000,48.9
-78.9500,40.1000,46.9
-75.1906,41.0125,49.5
-76.7892,40.8533,49.9
-77.1419,41.8975,47.2
-79.4333,41.4833,47.2
-79.7000,41.6333,46.5
-75.2225,41.1386,45.5
-76.4431,41.7511,48.3
-79.7192,39.9150,51.2
-75.4197,40.0983,53.2
-79.1494,41.8467,47.9
-80.1889,40.1789,49
-80.1667,39.9000,50.5
-77.3894,41.7003,44.9
-75.6350,39.9708,52.1
-75.7269,41.3336,49.4
-76.9833,41.2486,51.6
-76.9217,41.2433,50.5
-75.1500,40.2000,54.4
-76.7500,39.9167,53.8
-76.8742,39.9181,52.2
